rain_true,rain_pred,wind_spd_true,wind_spd_pred,wind_dir_sin_true,wind_dir_sin_pred,wind_dir_cos_true,wind_dir_cos_pred,pressure_true,pressure_pred
2.5237842,0.87854147,-0.040392485,0.21884614,-0.91503006,-0.14865595,0.4033856,-0.22510552,-0.20385619,-0.33975837
2.9207737,0.71158385,1.1912783,0.22475618,-0.44463518,-0.019263986,-0.8957118,-0.08202495,-0.11042986,-0.324051
0.3834459,0.73262006,0.675109,0.18081698,-0.5953371,-0.05978997,-0.80347604,-0.06452739,-0.4681639,-0.33315164
2.778127,0.6125722,0.9071231,0.120144606,-0.43849665,-0.0029241554,-0.89873284,-0.104786664,-0.6019843,-0.29750356
1.3757936,0.5706021,-0.10279493,0.13820678,0.7212768,0.012172202,0.69264686,0.011357889,-0.21631041,-0.29226092
2.1601903,0.47639906,-0.19285154,0.11954616,-0.9989114,-0.016988538,0.046648804,0.049968928,-0.08332888,-0.27749562
0.6438796,0.49496922,-0.36567017,0.25067365,-0.17955343,-0.012704007,0.9837482,0.033312842,-0.38861725,-0.30381355
0.41807696,0.5657118,0.30557835,0.28488988,-0.42131284,0.08524552,0.90691537,-0.0007876754,-0.14234766,-0.32013676
0.03797405,0.69027764,-0.124559626,0.16993678,0.870173,-0.08128266,0.49274632,0.014984578,-0.1696449,-0.31696537
0.009972631,0.8254039,-0.11916613,0.27096337,0.803766,-0.016253728,-0.59494555,-0.04815182,-0.13519813,-0.34043202
0.02343787,0.77857864,0.37189692,0.25374624,0.99970573,-0.011136185,-0.024257697,-0.072396725,-0.43132946,-0.31994155
0.017465718,0.930982,-0.56727695,0.27635732,0.85668373,-0.019853555,0.51584196,-0.104025215,-0.3698434,-0.34441933
0.28499827,0.87754035,-0.07080972,0.15788753,0.889127,0.010678271,0.45766056,-0.039812073,-0.59546846,-0.32427242
0.22466648,0.9574393,-0.10428781,0.13137335,-0.049590636,-0.021580633,0.99876964,-0.024707884,-0.42501935,-0.31746486
0.7498568,0.76926666,0.010322363,0.11207752,0.99948436,0.013128858,-0.032108538,0.036086768,-0.5420123,-0.29840937
0.0,0.81955516,0.5555729,0.12695602,0.99744236,0.007845614,0.071475685,0.05589942,-0.04351012,-0.34063813
0.0,0.6756799,0.24391198,0.12358382,0.8891769,0.09497642,-0.45756355,0.033228144,-0.24530111,-0.31346193
0.0,0.6615004,1.1641096,0.14470421,0.88102496,0.09842915,-0.47306982,0.01880619,-0.11101304,-0.30693778
0.0,0.6013713,0.7646952,0.23441896,0.96911263,0.19390935,-0.24661846,0.010802001,-0.22889923,-0.31279913
2.7042654,0.5153527,0.13459513,0.21656519,-0.38590604,0.19579461,-0.9225381,0.057064354,-0.33305827,-0.27856758
0.0,0.42072582,0.22681564,0.26244506,0.9978817,0.24288887,-0.065054804,0.062428325,-0.19946553,-0.24286497
0.0,0.38708153,0.5547918,0.2083748,0.99812543,0.20926291,0.06120097,0.10547353,-0.12629344,-0.23526272
0.06100736,0.39193097,-0.012199733,0.26532754,0.9773698,0.27829164,-0.21153803,0.058421552,-0.26075536,-0.24087742
0.0,0.37529853,0.19215979,0.28112763,0.98462534,0.30676526,-0.17467937,0.049736902,-0.39931634,-0.25470114
0.0,0.34872508,0.62778294,0.30512667,0.9118337,0.36140746,0.4105597,0.009934112,-0.49234846,-0.24135426
0.0,0.30893072,0.17547335,0.3193208,0.8107063,0.3638713,-0.58545303,-0.0023633838,-0.26084507,-0.2226462
0.0,0.29772255,0.6629933,0.33502874,0.90909076,0.38721958,-0.41659814,-0.022445232,-0.16205798,-0.21366969
0.0,0.47407964,0.019487636,0.19742516,0.994951,0.2835058,0.10036171,-0.029198095,-0.44550687,-0.2812201
0.0,0.40182546,-0.025718989,0.20718852,0.6722215,0.3519551,-0.7403501,-0.029944807,-0.40407148,-0.26036194
0.018230772,0.41329905,-0.3422653,0.25954127,-0.7400421,0.41546613,0.6725606,-0.0648206,-0.37273124,-0.27768108
0.0,0.41218427,0.5473245,0.20000884,0.99334764,0.39542997,0.11515387,-0.08006519,-0.56543976,-0.2823549
0.0,0.41144744,-0.1522589,0.26849493,0.9958626,0.4368252,0.09087157,-0.090008885,-0.35025644,-0.27605703
0.0033917069,0.38358876,-0.2269137,0.29831126,0.70457226,0.4559076,0.7096322,-0.080583826,-0.20099637,-0.277056
0.18531504,0.39023754,-1.1477008,0.24515504,-0.14297442,0.41102323,0.98972636,-0.06398785,-0.19249542,-0.28397995
0.0,0.36324945,-0.32330593,0.28450093,-0.0070248926,0.4191626,0.9999753,-0.065547645,0.0126600675,-0.2557978
0.0028569384,0.3775271,-0.052599948,0.25333226,-0.31007499,0.43435803,0.9507121,-0.072455555,-0.21451041,-0.26661223
0.0,0.36352035,0.34040394,0.2109147,0.67485,0.39743325,0.737955,-0.08193536,-0.0133474525,-0.2478967
0.0008738197,0.35285956,0.43331948,0.147128,-0.266145,0.28407004,0.963933,-0.011624545,-0.603186,-0.23970583
0.00012714847,0.24979854,-0.34127256,0.32185847,-0.07734983,0.393043,0.99700403,-0.009150684,-0.27605256,-0.19608015
0.0,0.23442262,0.15459523,0.27160165,0.8876949,0.34797508,-0.4604322,0.0138065815,-0.14182056,-0.19962206
0.0,0.23515847,1.5545039,0.1877256,0.89378273,0.28537065,-0.44850022,0.039208487,0.038740486,-0.19654065
